Year,Race,Driver,Team,GridPosition,RacePosition,Status,IsWetRace
2022,Italian Grand Prix,MSC,Haas F1 Team,17.0,12.0,Finished,False
2022,Italian Grand Prix,BOT,Alfa Romeo,15.0,13.0,+1 Lap,False
2022,Italian Grand Prix,TSU,AlphaTauri,20.0,14.0,+1 Lap,False
2022,Italian Grand Prix,LAT,Williams,10.0,15.0,+1 Lap,False
2022,Italian Grand Prix,MAG,Haas F1 Team,16.0,16.0,+1 Lap,False
2022,Italian Grand Prix,RIC,McLaren,4.0,17.0,Oil leak,False
2022,Italian Grand Prix,STR,Aston Martin,12.0,18.0,Engine,False
2022,Italian Grand Prix,ALO,Alpine,6.0,19.0,Water pressure,False
2022,Italian Grand Prix,VET,Aston Martin,11.0,20.0,Engine,False
2022,Singapore Grand Prix,PER,Red Bull Racing,2.0,1.0,Finished,True
2022,Singapore Grand Prix,LEC,Ferrari,1.0,2.0,Finished,True
2022,Singapore Grand Prix,SAI,Ferrari,4.0,3.0,Finished,True
2022,Singapore Grand Prix,NOR,McLaren,6.0,4.0,Finished,True
2022,Singapore Grand Prix,RIC,McLaren,16.0,5.0,Finished,True
2022,Singapore Grand Prix,STR,Aston Martin,11.0,6.0,Finished,True
2022,Singapore Grand Prix,VER,Red Bull Racing,8.0,7.0,Finished,True
2022,Singapore Grand Prix,VET,Aston Martin,13.0,8.0,Finished,True
2022,Singapore Grand Prix,HAM,Mercedes,3.0,9.0,Finished,True
2022,Singapore Grand Prix,GAS,AlphaTauri,7.0,10.0,Finished,True
2022,Singapore Grand Prix,BOT,Alfa Romeo,15.0,11.0,Finished,True
2022,Singapore Grand Prix,MAG,Haas F1 Team,9.0,12.0,Finished,True
2022,Singapore Grand Prix,MSC,Haas F1 Team,12.0,13.0,+1 Lap,True
2022,Singapore Grand Prix,RUS,Mercedes,0.0,14.0,+2 Laps,True
2022,Singapore Grand Prix,TSU,AlphaTauri,10.0,15.0,Accident,True
2022,Singapore Grand Prix,OCO,Alpine,17.0,16.0,Engine,True
2022,Singapore Grand Prix,ALB,Williams,18.0,17.0,Collision damage,True
2022,Singapore Grand Prix,ALO,Alpine,5.0,18.0,Engine,True
2022,Singapore Grand Prix,LAT,Williams,19.0,19.0,Collision damage,True
2022,Singapore Grand Prix,ZHO,Alfa Romeo,14.0,20.0,Collision,True
2022,Japanese Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,True
2022,Japanese Grand Prix,PER,Red Bull Racing,4.0,2.0,Finished,True
2022,Japanese Grand Prix,LEC,Ferrari,2.0,3.0,Finished,True
2022,Japanese Grand Prix,OCO,Alpine,5.0,4.0,Finished,True
2022,Japanese Grand Prix,HAM,Mercedes,6.0,5.0,Finished,True
2022,Japanese Grand Prix,VET,Aston Martin,9.0,6.0,Finished,True
2022,Japanese Grand Prix,ALO,Alpine,7.0,7.0,Finished,True
2022,Japanese Grand Prix,RUS,Mercedes,8.0,8.0,Finished,True
2022,Japanese Grand Prix,LAT,Williams,20.0,9.0,Finished,True
2022,Japanese Grand Prix,NOR,McLaren,10.0,10.0,Finished,True
2022,Japanese Grand Prix,RIC,McLaren,11.0,11.0,Finished,True
2022,Japanese Grand Prix,STR,Aston Martin,19.0,12.0,Finished,True
2022,Japanese Grand Prix,TSU,AlphaTauri,13.0,13.0,Finished,True
2022,Japanese Grand Prix,MAG,Haas F1 Team,18.0,14.0,Finished,True
2022,Japanese Grand Prix,BOT,Alfa Romeo,12.0,15.0,Finished,True
2022,Japanese Grand Prix,ZHO,Alfa Romeo,14.0,16.0,Finished,True
2022,Japanese Grand Prix,MSC,Haas F1 Team,15.0,17.0,Finished,True
2022,Japanese Grand Prix,GAS,AlphaTauri,17.0,18.0,Finished,True
2022,Japanese Grand Prix,SAI,Ferrari,3.0,19.0,Accident,True
2022,Japanese Grand Prix,ALB,Williams,16.0,20.0,Hydraulics,True
2022,United States Grand Prix,VER,Red Bull Racing,2.0,1.0,Finished,False
2022,United States Grand Prix,HAM,Mercedes,3.0,2.0,Finished,False
2022,United States Grand Prix,LEC,Ferrari,12.0,3.0,Finished,False
2022,United States Grand Prix,PER,Red Bull Racing,9.0,4.0,Finished,False
2022,United States Grand Prix,RUS,Mercedes,4.0,5.0,Finished,False
2022,United States Grand Prix,NOR,McLaren,6.0,6.0,Finished,False
2022,United States Grand Prix,ALO,Alpine,14.0,7.0,Finished,False
2022,United States Grand Prix,VET,Aston Martin,10.0,8.0,Finished,False
2022,United States Grand Prix,MAG,Haas F1 Team,13.0,9.0,Finished,False
2022,United States Grand Prix,TSU,AlphaTauri,19.0,10.0,Finished,False
2022,United States Grand Prix,OCO,Alpine,0.0,11.0,Finished,False
2022,United States Grand Prix,ZHO,Alfa Romeo,18.0,12.0,Finished,False
2022,United States Grand Prix,ALB,Williams,8.0,13.0,Finished,False
2022,United States Grand Prix,GAS,AlphaTauri,11.0,14.0,Finished,False
2022,United States Grand Prix,MSC,Haas F1 Team,16.0,15.0,Finished,False
2022,United States Grand Prix,RIC,McLaren,15.0,16.0,Finished,False
2022,United States Grand Prix,LAT,Williams,17.0,17.0,Finished,False
2022,United States Grand Prix,STR,Aston Martin,5.0,18.0,Collision,False
2022,United States Grand Prix,BOT,Alfa Romeo,7.0,19.0,Spun off,False
2022,United States Grand Prix,SAI,Ferrari,1.0,20.0,Collision damage,False
2022,Mexico City Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2022,Mexico City Grand Prix,HAM,Mercedes,3.0,2.0,Finished,False
2022,Mexico City Grand Prix,PER,Red Bull Racing,4.0,3.0,Finished,False
2022,Mexico City Grand Prix,RUS,Mercedes,2.0,4.0,Finished,False
2022,Mexico City Grand Prix,SAI,Ferrari,5.0,5.0,Finished,False
2022,Mexico City Grand Prix,LEC,Ferrari,7.0,6.0,Finished,False
2022,Mexico City Grand Prix,RIC,McLaren,11.0,7.0,+1 Lap,False
2022,Mexico City Grand Prix,OCO,Alpine,10.0,8.0,+1 Lap,False
2022,Mexico City Grand Prix,NOR,McLaren,8.0,9.0,+1 Lap,False
2022,Mexico City Grand Prix,BOT,Alfa Romeo,6.0,10.0,+1 Lap,False
2022,Mexico City Grand Prix,GAS,AlphaTauri,14.0,11.0,+1 Lap,False
2022,Mexico City Grand Prix,ALB,Williams,17.0,12.0,+1 Lap,False
2022,Mexico City Grand Prix,ZHO,Alfa Romeo,12.0,13.0,+1 Lap,False
2022,Mexico City Grand Prix,VET,Aston Martin,16.0,14.0,+1 Lap,False
2022,Mexico City Grand Prix,STR,Aston Martin,20.0,15.0,+1 Lap,False
2022,Mexico City Grand Prix,MSC,Haas F1 Team,15.0,16.0,+1 Lap,False
2022,Mexico City Grand Prix,MAG,Haas F1 Team,19.0,17.0,+1 Lap,False
2022,Mexico City Grand Prix,LAT,Williams,18.0,18.0,+2 Laps,False
2022,Mexico City Grand Prix,ALO,Alpine,9.0,19.0,Engine,False
2022,Mexico City Grand Prix,TSU,AlphaTauri,13.0,20.0,Collision damage,False
2022,São Paulo Grand Prix,RUS,Mercedes,1.0,1.0,Finished,False
2022,São Paulo Grand Prix,HAM,Mercedes,2.0,2.0,Finished,False
2022,São Paulo Grand Prix,SAI,Ferrari,7.0,3.0,Finished,False
2022,São Paulo Grand Prix,LEC,Ferrari,5.0,4.0,Finished,False
2022,São Paulo Grand Prix,ALO,Alpine,17.0,5.0,Finished,False
2022,São Paulo Grand Prix,VER,Red Bull Racing,3.0,6.0,Finished,False
2022,São Paulo Grand Prix,PER,Red Bull Racing,4.0,7.0,Finished,False
2022,São Paulo Grand Prix,OCO,Alpine,16.0,8.0,Finished,False
2022,São Paulo Grand Prix,BOT,Alfa Romeo,14.0,9.0,Finished,False
2022,São Paulo Grand Prix,STR,Aston Martin,15.0,10.0,Finished,False
2022,São Paulo Grand Prix,VET,Aston Martin,9.0,11.0,Finished,False
2022,São Paulo Grand Prix,ZHO,Alfa Romeo,13.0,12.0,Finished,False
2022,São Paulo Grand Prix,MSC,Haas F1 Team,12.0,13.0,Finished,False
2022,São Paulo Grand Prix,GAS,AlphaTauri,10.0,14.0,Finished,False
2022,São Paulo Grand Prix,ALB,Williams,19.0,15.0,Finished,False
2022,São Paulo Grand Prix,LAT,Williams,18.0,16.0,Finished,False
2022,São Paulo Grand Prix,TSU,AlphaTauri,0.0,17.0,+1 Lap,False
2022,São Paulo Grand Prix,NOR,McLaren,6.0,18.0,Gearbox,False
2022,São Paulo Grand Prix,MAG,Haas F1 Team,8.0,19.0,Collision,False
2022,São Paulo Grand Prix,RIC,McLaren,11.0,20.0,Collision,False
2022,Abu Dhabi Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2022,Abu Dhabi Grand Prix,LEC,Ferrari,3.0,2.0,Finished,False
2022,Abu Dhabi Grand Prix,PER,Red Bull Racing,2.0,3.0,Finished,False
2022,Abu Dhabi Grand Prix,SAI,Ferrari,4.0,4.0,Finished,False
2022,Abu Dhabi Grand Prix,RUS,Mercedes,6.0,5.0,Finished,False
2022,Abu Dhabi Grand Prix,NOR,McLaren,7.0,6.0,Finished,False
2022,Abu Dhabi Grand Prix,OCO,Alpine,8.0,7.0,Finished,False
2022,Abu Dhabi Grand Prix,STR,Aston Martin,14.0,8.0,Finished,False
2022,Abu Dhabi Grand Prix,RIC,McLaren,13.0,9.0,Finished,False
2022,Abu Dhabi Grand Prix,VET,Aston Martin,9.0,10.0,Finished,False
2022,Abu Dhabi Grand Prix,TSU,AlphaTauri,11.0,11.0,Finished,False
2022,Abu Dhabi Grand Prix,ZHO,Alfa Romeo,15.0,12.0,+1 Lap,False
2022,Abu Dhabi Grand Prix,ALB,Williams,19.0,13.0,+1 Lap,False
2022,Abu Dhabi Grand Prix,GAS,AlphaTauri,17.0,14.0,+1 Lap,False
2022,Abu Dhabi Grand Prix,BOT,Alfa Romeo,18.0,15.0,+1 Lap,False
2022,Abu Dhabi Grand Prix,MSC,Haas F1 Team,12.0,16.0,+1 Lap,False
2022,Abu Dhabi Grand Prix,MAG,Haas F1 Team,16.0,17.0,+1 Lap,False
2022,Abu Dhabi Grand Prix,HAM,Mercedes,5.0,18.0,Hydraulics,False
2022,Abu Dhabi Grand Prix,LAT,Williams,20.0,19.0,Collision damage,False
2022,Abu Dhabi Grand Prix,ALO,Alpine,10.0,20.0,Water leak,False
2023,Pre-Season Testing,VER,Red Bull Racing,1.0,1.0,Finished,False
2023,Pre-Season Testing,NOR,McLaren,2.0,2.0,Finished,False
2023,Pre-Season Testing,HAM,Mercedes,7.0,3.0,Finished,False
2023,Pre-Season Testing,PIA,McLaren,3.0,4.0,Finished,False
2023,Pre-Season Testing,RUS,Mercedes,6.0,5.0,Finished,False
2023,Pre-Season Testing,PER,Red Bull Racing,15.0,6.0,Finished,False
2023,Pre-Season Testing,ALO,Aston Martin,9.0,7.0,Finished,False
2023,Pre-Season Testing,ALB,Williams,8.0,8.0,Finished,False
2023,Pre-Season Testing,LEC,Ferrari,4.0,9.0,Finished,False
2023,Pre-Season Testing,SAI,Ferrari,5.0,10.0,Finished,False
2023,Pre-Season Testing,SAR,Williams,14.0,11.0,Finished,False
2023,Pre-Season Testing,BOT,Alfa Romeo,20.0,12.0,Finished,False
2023,Pre-Season Testing,HUL,Haas F1 Team,11.0,13.0,Finished,False
2023,Pre-Season Testing,STR,Aston Martin,12.0,14.0,Finished,False
2023,Pre-Season Testing,ZHO,Alfa Romeo,17.0,15.0,Finished,False
2023,Pre-Season Testing,TSU,AlphaTauri,16.0,16.0,Finished,False
2023,Pre-Season Testing,DEV,AlphaTauri,18.0,17.0,Finished,False
2023,Pre-Season Testing,GAS,Alpine,10.0,18.0,Finished,False
2023,Pre-Season Testing,MAG,Haas F1 Team,19.0,19.0,Retired,False
2023,Pre-Season Testing,OCO,Alpine,13.0,20.0,Retired,False
2023,Bahrain Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2023,Bahrain Grand Prix,PER,Red Bull Racing,2.0,2.0,Finished,False
2023,Bahrain Grand Prix,ALO,Aston Martin,5.0,3.0,Finished,False
2023,Bahrain Grand Prix,SAI,Ferrari,4.0,4.0,Finished,False
2023,Bahrain Grand Prix,HAM,Mercedes,7.0,5.0,Finished,False
2023,Bahrain Grand Prix,STR,Aston Martin,8.0,6.0,Finished,False
2023,Bahrain Grand Prix,RUS,Mercedes,6.0,7.0,Finished,False
2023,Bahrain Grand Prix,BOT,Alfa Romeo,12.0,8.0,Finished,False
2023,Bahrain Grand Prix,GAS,Alpine,20.0,9.0,Finished,False
2023,Bahrain Grand Prix,ALB,Williams,15.0,10.0,Finished,False
2023,Bahrain Grand Prix,TSU,AlphaTauri,14.0,11.0,Finished,False
2023,Bahrain Grand Prix,SAR,Williams,16.0,12.0,Lapped,False
2023,Bahrain Grand Prix,MAG,Haas F1 Team,17.0,13.0,Lapped,False
2023,Bahrain Grand Prix,DEV,AlphaTauri,19.0,14.0,Lapped,False
2023,Bahrain Grand Prix,HUL,Haas F1 Team,10.0,15.0,Lapped,False
2023,Bahrain Grand Prix,ZHO,Alfa Romeo,13.0,16.0,Lapped,False
2023,Bahrain Grand Prix,NOR,McLaren,11.0,17.0,Lapped,False
2023,Bahrain Grand Prix,OCO,Alpine,9.0,18.0,Retired,False
2023,Bahrain Grand Prix,LEC,Ferrari,3.0,19.0,Retired,False
2023,Bahrain Grand Prix,PIA,McLaren,18.0,20.0,Retired,False
2023,Saudi Arabian Grand Prix,PER,Red Bull Racing,1.0,1.0,Finished,False
2023,Saudi Arabian Grand Prix,VER,Red Bull Racing,15.0,2.0,Finished,False
2023,Saudi Arabian Grand Prix,ALO,Aston Martin,2.0,3.0,Finished,False
2023,Saudi Arabian Grand Prix,RUS,Mercedes,3.0,4.0,Finished,False
2023,Saudi Arabian Grand Prix,HAM,Mercedes,7.0,5.0,Finished,False
2023,Saudi Arabian Grand Prix,SAI,Ferrari,4.0,6.0,Finished,False
2023,Saudi Arabian Grand Prix,LEC,Ferrari,12.0,7.0,Finished,False
2023,Saudi Arabian Grand Prix,OCO,Alpine,6.0,8.0,Finished,False
2023,Saudi Arabian Grand Prix,GAS,Alpine,9.0,9.0,Finished,False
2023,Saudi Arabian Grand Prix,MAG,Haas F1 Team,13.0,10.0,Finished,False
2023,Saudi Arabian Grand Prix,TSU,AlphaTauri,16.0,11.0,Finished,False
2023,Saudi Arabian Grand Prix,HUL,Haas F1 Team,10.0,12.0,Finished,False
2023,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,11.0,13.0,Finished,False
2023,Saudi Arabian Grand Prix,DEV,AlphaTauri,18.0,14.0,Finished,False
2023,Saudi Arabian Grand Prix,PIA,McLaren,8.0,15.0,Finished,False
2023,Saudi Arabian Grand Prix,SAR,Williams,20.0,16.0,Finished,False
2023,Saudi Arabian Grand Prix,NOR,McLaren,19.0,17.0,Finished,False
2023,Saudi Arabian Grand Prix,BOT,Alfa Romeo,14.0,18.0,Lapped,False
2023,Saudi Arabian Grand Prix,ALB,Williams,17.0,19.0,Retired,False
2023,Saudi Arabian Grand Prix,STR,Aston Martin,5.0,20.0,Retired,False
2023,Australian Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2023,Australian Grand Prix,HAM,Mercedes,3.0,2.0,Finished,False
2023,Australian Grand Prix,ALO,Aston Martin,4.0,3.0,Finished,False
2023,Australian Grand Prix,STR,Aston Martin,6.0,4.0,Finished,False
2023,Australian Grand Prix,PER,Red Bull Racing,20.0,5.0,Finished,False
2023,Australian Grand Prix,NOR,McLaren,13.0,6.0,Finished,False
2023,Australian Grand Prix,HUL,Haas F1 Team,10.0,7.0,Finished,False
2023,Australian Grand Prix,PIA,McLaren,16.0,8.0,Finished,False
2023,Australian Grand Prix,ZHO,Alfa Romeo,17.0,9.0,Finished,False
2023,Australian Grand Prix,TSU,AlphaTauri,12.0,10.0,Finished,False
2023,Australian Grand Prix,BOT,Alfa Romeo,19.0,11.0,Finished,False
2023,Australian Grand Prix,SAI,Ferrari,5.0,12.0,Finished,False
2023,Australian Grand Prix,GAS,Alpine,9.0,13.0,Finished,False
2023,Australian Grand Prix,OCO,Alpine,11.0,14.0,Finished,False
2023,Australian Grand Prix,DEV,AlphaTauri,15.0,15.0,Finished,False
2023,Australian Grand Prix,SAR,Williams,18.0,16.0,Finished,False
2023,Australian Grand Prix,MAG,Haas F1 Team,14.0,17.0,Finished,False
2023,Australian Grand Prix,RUS,Mercedes,2.0,18.0,Retired,False
2023,Australian Grand Prix,ALB,Williams,8.0,19.0,Retired,False
2023,Australian Grand Prix,LEC,Ferrari,7.0,20.0,Retired,False
2023,British Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2023,British Grand Prix,NOR,McLaren,2.0,2.0,Finished,False
2023,British Grand Prix,HAM,Mercedes,7.0,3.0,Finished,False
2023,British Grand Prix,PIA,McLaren,3.0,4.0,Finished,False
2023,British Grand Prix,RUS,Mercedes,6.0,5.0,Finished,False
2023,British Grand Prix,PER,Red Bull Racing,15.0,6.0,Finished,False
2023,British Grand Prix,ALO,Aston Martin,9.0,7.0,Finished,False
2023,British Grand Prix,ALB,Williams,8.0,8.0,Finished,False
2023,British Grand Prix,LEC,Ferrari,4.0,9.0,Finished,False
2023,British Grand Prix,SAI,Ferrari,5.0,10.0,Finished,False
2023,British Grand Prix,SAR,Williams,14.0,11.0,Finished,False
2023,British Grand Prix,BOT,Alfa Romeo,20.0,12.0,Finished,False
2023,British Grand Prix,HUL,Haas F1 Team,11.0,13.0,Finished,False
2023,British Grand Prix,STR,Aston Martin,12.0,14.0,Finished,False
2023,British Grand Prix,ZHO,Alfa Romeo,17.0,15.0,Finished,False
2023,British Grand Prix,TSU,AlphaTauri,16.0,16.0,Finished,False
2023,British Grand Prix,DEV,AlphaTauri,18.0,17.0,Finished,False
2023,British Grand Prix,GAS,Alpine,10.0,18.0,Finished,False
2023,British Grand Prix,MAG,Haas F1 Team,19.0,19.0,Retired,False
2023,British Grand Prix,OCO,Alpine,13.0,20.0,Retired,False
2022,Pre-Season Track Session,SAI,Ferrari,1.0,1.0,Finished,False
2022,Pre-Season Track Session,PER,Red Bull Racing,4.0,2.0,Finished,False
2022,Pre-Season Track Session,HAM,Mercedes,5.0,3.0,Finished,False
2022,Pre-Season Track Session,LEC,Ferrari,3.0,4.0,Finished,False
2022,Pre-Season Track Session,ALO,Alpine,7.0,5.0,Finished,False
2022,Pre-Season Track Session,NOR,McLaren,6.0,6.0,Finished,False
2022,Pre-Season Track Session,VER,Red Bull Racing,2.0,7.0,Finished,False
2022,Pre-Season Track Session,MSC,Haas F1 Team,19.0,8.0,Finished,False
2022,Pre-Season Track Session,VET,Aston Martin,18.0,9.0,Finished,False
2022,Pre-Season Track Session,MAG,Haas F1 Team,17.0,10.0,Finished,False
2022,Pre-Season Track Session,STR,Aston Martin,20.0,11.0,Finished,False
2022,Pre-Season Track Session,LAT,Williams,10.0,12.0,Finished,False
2022,Pre-Season Track Session,RIC,McLaren,14.0,13.0,Finished,False
2022,Pre-Season Track Session,TSU,AlphaTauri,13.0,14.0,Finished,False
2022,Pre-Season Track Session,OCO,Alpine,15.0,15.0,Fuel pump,False
2022,Pre-Season Track Session,GAS,AlphaTauri,11.0,16.0,Collision damage,False
2022,Pre-Season Track Session,BOT,Alfa Romeo,12.0,17.0,Gearbox,False
2022,Pre-Season Track Session,RUS,Mercedes,8.0,18.0,Collision,False
2022,Pre-Season Track Session,ZHO,Alfa Romeo,9.0,19.0,Collision,False
2022,Pre-Season Track Session,ALB,Williams,16.0,20.0,Collision,False
2023,Azerbaijan Grand Prix,PER,Red Bull Racing,3.0,1.0,Finished,False
2023,Azerbaijan Grand Prix,VER,Red Bull Racing,2.0,2.0,Finished,False
2023,Azerbaijan Grand Prix,LEC,Ferrari,1.0,3.0,Finished,False
2023,Azerbaijan Grand Prix,ALO,Aston Martin,6.0,4.0,Finished,False
2023,Azerbaijan Grand Prix,SAI,Ferrari,4.0,5.0,Finished,False
2023,Azerbaijan Grand Prix,HAM,Mercedes,5.0,6.0,Finished,False
2023,Azerbaijan Grand Prix,STR,Aston Martin,9.0,7.0,Finished,False
2023,Azerbaijan Grand Prix,RUS,Mercedes,11.0,8.0,Finished,False
2023,Azerbaijan Grand Prix,NOR,McLaren,7.0,9.0,Finished,False
2023,Azerbaijan Grand Prix,TSU,AlphaTauri,8.0,10.0,Finished,False
2023,Azerbaijan Grand Prix,PIA,McLaren,10.0,11.0,Finished,False
2023,Azerbaijan Grand Prix,ALB,Williams,12.0,12.0,Finished,False
2023,Azerbaijan Grand Prix,MAG,Haas F1 Team,16.0,13.0,Finished,False
2023,Azerbaijan Grand Prix,GAS,Alpine,17.0,14.0,Finished,False
2023,Azerbaijan Grand Prix,OCO,Alpine,19.0,15.0,Finished,False
2023,Azerbaijan Grand Prix,SAR,Williams,14.0,16.0,Finished,False
2023,Azerbaijan Grand Prix,HUL,Haas F1 Team,20.0,17.0,Lapped,False
2023,Azerbaijan Grand Prix,BOT,Alfa Romeo,13.0,18.0,Lapped,False
2023,Azerbaijan Grand Prix,ZHO,Alfa Romeo,15.0,19.0,Retired,False
2023,Azerbaijan Grand Prix,DEV,AlphaTauri,18.0,20.0,Retired,False
2023,Miami Grand Prix,VER,Red Bull Racing,9.0,1.0,Finished,False
2023,Miami Grand Prix,PER,Red Bull Racing,1.0,2.0,Finished,False
2023,Miami Grand Prix,ALO,Aston Martin,2.0,3.0,Finished,False
2023,Miami Grand Prix,RUS,Mercedes,6.0,4.0,Finished,False
2023,Miami Grand Prix,SAI,Ferrari,3.0,5.0,Finished,False
2023,Miami Grand Prix,HAM,Mercedes,13.0,6.0,Finished,False
2023,Miami Grand Prix,LEC,Ferrari,7.0,7.0,Finished,False
2023,Miami Grand Prix,GAS,Alpine,5.0,8.0,Finished,False
2023,Miami Grand Prix,OCO,Alpine,8.0,9.0,Finished,False
2023,Miami Grand Prix,MAG,Haas F1 Team,4.0,10.0,Finished,False
2023,Miami Grand Prix,TSU,AlphaTauri,17.0,11.0,Finished,False
2023,Miami Grand Prix,STR,Aston Martin,18.0,12.0,Finished,False
2023,Miami Grand Prix,BOT,Alfa Romeo,10.0,13.0,Finished,False
2023,Miami Grand Prix,ALB,Williams,11.0,14.0,Finished,False
2023,Miami Grand Prix,HUL,Haas F1 Team,12.0,15.0,Finished,False
2023,Miami Grand Prix,ZHO,Alfa Romeo,14.0,16.0,Finished,False
2023,Miami Grand Prix,NOR,McLaren,16.0,17.0,Finished,False
2023,Miami Grand Prix,DEV,AlphaTauri,15.0,18.0,Finished,False
2023,Miami Grand Prix,PIA,McLaren,19.0,19.0,Lapped,False
2023,Miami Grand Prix,SAR,Williams,20.0,20.0,Lapped,False
2023,Monaco Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,True
2023,Monaco Grand Prix,ALO,Aston Martin,2.0,2.0,Finished,True
2023,Monaco Grand Prix,OCO,Alpine,3.0,3.0,Finished,True
2023,Monaco Grand Prix,HAM,Mercedes,5.0,4.0,Finished,True
2023,Monaco Grand Prix,RUS,Mercedes,8.0,5.0,Finished,True
2023,Monaco Grand Prix,LEC,Ferrari,6.0,6.0,Finished,True
2023,Monaco Grand Prix,GAS,Alpine,7.0,7.0,Finished,True
2023,Monaco Grand Prix,SAI,Ferrari,4.0,8.0,Finished,True
2023,Monaco Grand Prix,NOR,McLaren,10.0,9.0,Lapped,True
2023,Monaco Grand Prix,PIA,McLaren,11.0,10.0,Lapped,True
2023,Monaco Grand Prix,BOT,Alfa Romeo,15.0,11.0,Lapped,True
2023,Monaco Grand Prix,DEV,AlphaTauri,12.0,12.0,Lapped,True
2023,Monaco Grand Prix,ZHO,Alfa Romeo,19.0,13.0,Lapped,True
2023,Monaco Grand Prix,ALB,Williams,13.0,14.0,Lapped,True
2023,Monaco Grand Prix,TSU,AlphaTauri,9.0,15.0,Lapped,True
2023,Monaco Grand Prix,PER,Red Bull Racing,20.0,16.0,Lapped,True
2023,Monaco Grand Prix,HUL,Haas F1 Team,18.0,17.0,Lapped,True
2023,Monaco Grand Prix,SAR,Williams,16.0,18.0,Lapped,True
2023,Monaco Grand Prix,MAG,Haas F1 Team,17.0,19.0,Finished,True
2023,Monaco Grand Prix,STR,Aston Martin,14.0,20.0,Retired,True
2023,Spanish Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2023,Spanish Grand Prix,HAM,Mercedes,4.0,2.0,Finished,False
2023,Spanish Grand Prix,RUS,Mercedes,12.0,3.0,Finished,False
2023,Spanish Grand Prix,PER,Red Bull Racing,11.0,4.0,Finished,False
2023,Spanish Grand Prix,SAI,Ferrari,2.0,5.0,Finished,False
2023,Spanish Grand Prix,STR,Aston Martin,5.0,6.0,Finished,False
2023,Spanish Grand Prix,ALO,Aston Martin,8.0,7.0,Finished,False
2023,Spanish Grand Prix,OCO,Alpine,6.0,8.0,Finished,False
2023,Spanish Grand Prix,ZHO,Alfa Romeo,13.0,9.0,Finished,False
2023,Spanish Grand Prix,GAS,Alpine,10.0,10.0,Finished,False
2023,Spanish Grand Prix,LEC,Ferrari,19.0,11.0,Finished,False
2023,Spanish Grand Prix,TSU,AlphaTauri,15.0,12.0,Finished,False
2023,Spanish Grand Prix,PIA,McLaren,9.0,13.0,Lapped,False
2023,Spanish Grand Prix,DEV,AlphaTauri,14.0,14.0,Lapped,False
2023,Spanish Grand Prix,HUL,Haas F1 Team,7.0,15.0,Lapped,False
2023,Spanish Grand Prix,ALB,Williams,18.0,16.0,Lapped,False
2023,Spanish Grand Prix,NOR,McLaren,3.0,17.0,Lapped,False
2023,Spanish Grand Prix,MAG,Haas F1 Team,17.0,18.0,Lapped,False
2023,Spanish Grand Prix,BOT,Alfa Romeo,16.0,19.0,Lapped,False
2023,Spanish Grand Prix,SAR,Williams,20.0,20.0,Lapped,False
2023,Canadian Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2023,Canadian Grand Prix,ALO,Aston Martin,2.0,2.0,Finished,False
2023,Canadian Grand Prix,HAM,Mercedes,3.0,3.0,Finished,False
2023,Canadian Grand Prix,LEC,Ferrari,10.0,4.0,Finished,False
2023,Canadian Grand Prix,SAI,Ferrari,11.0,5.0,Finished,False
2023,Canadian Grand Prix,PER,Red Bull Racing,12.0,6.0,Finished,False
2023,Canadian Grand Prix,ALB,Williams,9.0,7.0,Finished,False
2023,Canadian Grand Prix,OCO,Alpine,6.0,8.0,Finished,False
2023,Canadian Grand Prix,STR,Aston Martin,16.0,9.0,Finished,False
2023,Canadian Grand Prix,BOT,Alfa Romeo,14.0,10.0,Finished,False
2023,Canadian Grand Prix,PIA,McLaren,8.0,11.0,Finished,False
2023,Canadian Grand Prix,GAS,Alpine,15.0,12.0,Finished,False
2023,Canadian Grand Prix,NOR,McLaren,7.0,13.0,Finished,False
2023,Canadian Grand Prix,TSU,AlphaTauri,19.0,14.0,Finished,False
2023,Canadian Grand Prix,HUL,Haas F1 Team,5.0,15.0,Lapped,False
2023,Canadian Grand Prix,ZHO,Alfa Romeo,20.0,16.0,Lapped,False
2023,Canadian Grand Prix,MAG,Haas F1 Team,13.0,17.0,Lapped,False
2023,Canadian Grand Prix,DEV,AlphaTauri,17.0,18.0,Lapped,False
2023,Canadian Grand Prix,RUS,Mercedes,4.0,19.0,Retired,False
2023,Canadian Grand Prix,SAR,Williams,18.0,20.0,Retired,False
2023,Austrian Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2023,Austrian Grand Prix,LEC,Ferrari,2.0,2.0,Finished,False
2023,Austrian Grand Prix,PER,Red Bull Racing,15.0,3.0,Finished,False
2023,Austrian Grand Prix,NOR,McLaren,4.0,4.0,Finished,False
2023,Austrian Grand Prix,ALO,Aston Martin,7.0,5.0,Finished,False
