Year,Race,Driver,Team,GridPosition,RacePosition,Status,IsWetRace
2022,Saudi Arabian Grand Prix,MSC,Haas F1 Team,,,Withdrew,False
2022,Australian Grand Prix,LEC,Ferrari,1.0,1.0,Finished,False
2022,Australian Grand Prix,PER,Red Bull Racing,3.0,2.0,Finished,False
2022,Australian Grand Prix,RUS,Mercedes,6.0,3.0,Finished,False
2022,Australian Grand Prix,HAM,Mercedes,5.0,4.0,Finished,False
2022,Australian Grand Prix,NOR,McLaren,4.0,5.0,Finished,False
2022,Australian Grand Prix,RIC,McLaren,7.0,6.0,Finished,False
2022,Australian Grand Prix,OCO,Alpine,8.0,7.0,Finished,False
2022,Australian Grand Prix,BOT,Alfa Romeo,12.0,8.0,Finished,False
2022,Australian Grand Prix,GAS,AlphaTauri,11.0,9.0,Finished,False
2022,Australian Grand Prix,ALB,Williams,20.0,10.0,Finished,False
2022,Australian Grand Prix,ZHO,Alfa Romeo,14.0,11.0,Finished,False
2022,Australian Grand Prix,STR,Aston Martin,19.0,12.0,Finished,False
2022,Australian Grand Prix,MSC,Haas F1 Team,15.0,13.0,+1 Lap,False
2022,Australian Grand Prix,MAG,Haas F1 Team,16.0,14.0,+1 Lap,False
2022,Australian Grand Prix,TSU,AlphaTauri,13.0,15.0,+1 Lap,False
2022,Australian Grand Prix,LAT,Williams,18.0,16.0,+1 Lap,False
2022,Australian Grand Prix,ALO,Alpine,10.0,17.0,+1 Lap,False
2022,Australian Grand Prix,VER,Red Bull Racing,2.0,18.0,Fuel leak,False
2022,Australian Grand Prix,VET,Aston Martin,17.0,19.0,Accident,False
2022,Australian Grand Prix,SAI,Ferrari,9.0,20.0,Spun off,False
2022,Emilia Romagna Grand Prix,VER,Red Bull Racing,1.0,1.0,Finished,False
2022,Emilia Romagna Grand Prix,PER,Red Bull Racing,3.0,2.0,Finished,False
2022,Emilia Romagna Grand Prix,NOR,McLaren,5.0,3.0,Finished,False
2022,Emilia Romagna Grand Prix,RUS,Mercedes,11.0,4.0,Finished,False
2022,Emilia Romagna Grand Prix,BOT,Alfa Romeo,7.0,5.0,Finished,False
2022,Emilia Romagna Grand Prix,LEC,Ferrari,2.0,6.0,Finished,False
2022,Emilia Romagna Grand Prix,TSU,AlphaTauri,12.0,7.0,Finished,False
2022,Emilia Romagna Grand Prix,VET,Aston Martin,13.0,8.0,Finished,False
2022,Emilia Romagna Grand Prix,MAG,Haas F1 Team,8.0,9.0,Finished,False
2022,Emilia Romagna Grand Prix,STR,Aston Martin,15.0,10.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,ALB,Williams,18.0,11.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,GAS,AlphaTauri,17.0,12.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,HAM,Mercedes,14.0,13.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,OCO,Alpine,16.0,14.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,ZHO,Alfa Romeo,0.0,15.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,LAT,Williams,19.0,16.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,MSC,Haas F1 Team,10.0,17.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,RIC,McLaren,6.0,18.0,+1 Lap,False
2022,Emilia Romagna Grand Prix,ALO,Alpine,9.0,19.0,Collision damage,False
2022,Emilia Romagna Grand Prix,SAI,Ferrari,4.0,20.0,Collision,False
2022,Miami Grand Prix,VER,Red Bull Racing,3.0,1.0,Finished,True
2022,Miami Grand Prix,LEC,Ferrari,1.0,2.0,Finished,True
2022,Miami Grand Prix,SAI,Ferrari,2.0,3.0,Finished,True
2022,Miami Grand Prix,PER,Red Bull Racing,4.0,4.0,Finished,True
2022,Miami Grand Prix,RUS,Mercedes,12.0,5.0,Finished,True
2022,Miami Grand Prix,HAM,Mercedes,6.0,6.0,Finished,True
2022,Miami Grand Prix,BOT,Alfa Romeo,5.0,7.0,Finished,True
2022,Miami Grand Prix,OCO,Alpine,20.0,8.0,Finished,True
2022,Miami Grand Prix,ALB,Williams,18.0,9.0,Finished,True
2022,Miami Grand Prix,STR,Aston Martin,0.0,10.0,Finished,True
2022,Miami Grand Prix,ALO,Alpine,11.0,11.0,Finished,True
2022,Miami Grand Prix,TSU,AlphaTauri,9.0,12.0,Finished,True
2022,Miami Grand Prix,RIC,McLaren,14.0,13.0,Finished,True
2022,Miami Grand Prix,LAT,Williams,19.0,14.0,Finished,True
2022,Miami Grand Prix,MSC,Haas F1 Team,15.0,15.0,Finished,True
2022,Miami Grand Prix,MAG,Haas F1 Team,16.0,16.0,Front wing,True
2022,Miami Grand Prix,VET,Aston Martin,0.0,17.0,Collision,True
2022,Miami Grand Prix,GAS,AlphaTauri,7.0,18.0,Suspension,True
